Title,More Info,Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets,City,Neighborhood
4 Bedroom Semi Detached House,4 BEDROOM HOUSE FOR RENT,"6,000,000/year",1,0,0,4 beds,5 baths,5 Toilets,Lekki,Ikate
3 Bedroom Apartment,3 BEDROOM HOUSE FOR RENT,"4,000,000/year",1,0,0,3 beds,4 baths,4 Toilets,Lekki,Lekki Phase 1
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"3,800,000/year",1,1,0,4 beds,5 baths,5 Toilets,Lekki,Chevron
2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,"2,500,000/year",1,0,0,2 beds,2 baths,3 Toilets,Lekki,Other Lekki
4 Bedroom Terrace Apartment,4 BEDROOM HOUSE FOR RENT,"6,000,000/year",1,1,0,4 beds,5 baths,5 Toilets,Lekki,Ikate
4 Bedroom Maisonette,4 BEDROOM HOUSE FOR RENT,"7,500,000/year",0,1,0,4 beds,5 baths,5 Toilets,Lekki,Other Lekki
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR RENT,"9,000,000/year",0,1,0,5 beds,6 baths,6 Toilets,Lekki,Other Lekki
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"4,500,000/year",0,0,0,4 beds,5 baths,5 Toilets,Lekki,Ikota
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"4,200,000/year",1,1,0,4 beds,5 baths,5 Toilets,Lekki,Chevron
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR RENT,"6,500,000/year",1,1,0,5 beds,6 baths,6 Toilets,Lekki,Chevron
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"6,500,000/year",0,1,0,4 beds,5 baths,5 Toilets,Lekki,Osapa London
3 Bedroom Flat,3 BEDROOM HOUSE FOR RENT,"12,000,000/year",1,1,0,3 beds,4 baths,4 Toilets,Lekki,Lekki Phase 1
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR RENT,"8,000,000/year",0,1,0,5 beds,6 baths,6 Toilets,Lekki,Ikate
